112,"0","Position ""stick-rightmiddle""","","<a><img src=""images/extensions/custom-html/position-stick-x/position-stick-rightmiddle.png"" width=""65"" height=""190"" alt=""Sample module in position -stickrightmiddle-"" /></a>","0",stick-rightmiddle,"0","0000-00-00 00:00:00",2020-05-12 07:43:19,"0000-00-00 00:00:00",-2,mod_custom,1,"0","{""prepare_content"":""1"",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static""}","0",*
113,"0","Position ""stick-righttop""","","<a><img src=""images/extensions/custom-html/position-stick-x/position-stick-righttop.png"" width=""65"" height=""190"" alt=""Sample module in position -righttop-"" /></a>","0",stick-righttop,"0","0000-00-00 00:00:00",2020-05-12 07:43:19,"0000-00-00 00:00:00",-2,mod_custom,1,"0","{""prepare_content"":""1"",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static""}","0",*
114,"0",Plain Style,"","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc varius nisl id lectus ultricies ut elementum nulla ornare. Nulla sed mi massa, at tincidunt felis.</p>
<p>Module Class Suffix:<br />
  <em>empty</em></p>","0",user-bottom,"0","0000-00-00 00:00:00",2020-05-12 07:43:19,"0000-00-00 00:00:00",-2,mod_custom,1,1,"{""prepare_content"":""1"",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static""}","0",*
115,263,Plain with Icons,"","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc varius nisl id lectus ultricies ut elementum nulla ornare. Nulla sed mi massa, at tincidunt felis.</p>
<p>Module Class Suffix:<br />
  <strong>""fa fa-globe""</strong></p>",1,user-bottom,"0","0000-00-00 00:00:00",2020-05-12 07:43:19,"0000-00-00 00:00:00",-2,mod_custom,1,1,"{""prepare_content"":""1"",""backgroundimage"":"""",""layout"":""_:default"",""moduleclass_sfx"":""fa fa-globe"",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static"",""module_tag"":""div"",""bootstrap_size"":""0"",""header_tag"":""h3"",""header_class"":"""",""style"":""0""}","0",*
116,"0",Layout Variations,"","<div class=""grid-layout"" style=""margin-top: 10px"">
	<div class=""content-center""><a href=""index.php?option=com_content&view=article&id=90&Itemid=472"" class=""link-highlight""><img src=""images/extensions/custom-html/layout-variations/layout-thumb-lcr.png"" width=""160"" height=""90"" alt=""Left | Center | Right"" style=""vertical-align: middle;"" class=""margin-right"" /><br />
		Left | Center | Right</a></div>
	<div class=""content-center""><a href=""index.php?option=com_content&view=article&id=92&Itemid=477"" class=""link-highlight""><img src=""images/extensions/custom-html/layout-variations/layout-thumb-mc.png"" width=""160"" height=""90"" alt=""Main content only"" style=""vertical-align: middle;"" class=""margin-right"" /><br />
		Main content only</a></div>
</div>
<div class=""grid-layout"" style=""margin-top: 10px"">
	<div class=""content-center""><a href=""index.php?option=com_content&view=article&id=89&Itemid=474"" class=""link-highlight""><img src=""images/extensions/custom-html/layout-variations/layout-thumb-lcir.png"" width=""160"" height=""90"" alt=""Left | Center | InnerRight"" style=""vertical-align: middle;"" class=""margin-right"" /><br />
		Left | Center | InnerRight</a></div>
	<div class=""content-center""><a href=""index.php?option=com_content&view=article&id=88&Itemid=476"" class=""link-highlight""><img src=""images/extensions/custom-html/layout-variations/layout-thumb-ilcr.png"" width=""160"" height=""90"" alt=""InnerLeft | Center | Right"" style=""vertical-align: middle;"" class=""margin-right"" /><br />
		InnerLeft | Center | Right</a></div>
</div>
<div class=""grid-layout"" style=""margin-top: 10px"">
	<div class=""content-center""><a href=""index.php?option=com_content&view=article&id=91&Itemid=473"" class=""link-highlight""><img src=""images/extensions/custom-html/layout-variations/layout-thumb-lilc.png"" width=""160"" height=""90"" alt=""Left | Center | InnerRight"" style=""vertical-align: middle;"" class=""margin-right"" /><br />
		Left | InnerLeft | Center</a></div>
	<div class=""content-center""><a href=""index.php?option=com_content&view=article&id=87&Itemid=475"" class=""link-highlight""><img src=""images/extensions/custom-html/layout-variations/layout-thumb-cirr.png"" width=""160"" height=""90"" alt=""Left | Center | Right"" style=""vertical-align: middle;"" class=""margin-right"" /><br />
		Center | InnerRight | Right</a></div>
</div>
",6,user-bottom,"0","0000-00-00 00:00:00",2020-05-12 07:43:19,"0000-00-00 00:00:00",-2,mod_custom,1,1,"{""prepare_content"":""1"",""backgroundimage"":"""",""layout"":""_:default"",""moduleclass_sfx"":""box-white"",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static""}","0",*
121,290,"Position ""user7""","","[pb_row][pb_column span=""span12""][pb_text width_unit=""%"" enable_dropcap=""no"" appearing_animation=""0"" ]<p>This is a sample module in position <strong>“user7”</strong>. All modules in this position will be arranged in <strong>vertical column</strong>. The whole position will be collapsed, if there are no modules published.</p>[/pb_text][/pb_column][/pb_row]",1,user7,"0","0000-00-00 00:00:00",2020-05-12 07:42:56,"0000-00-00 00:00:00",-2,mod_custom,1,1,"{""prepare_content"":""1"",""backgroundimage"":"""",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static"",""module_tag"":""div"",""bootstrap_size"":""0"",""header_tag"":""h3"",""header_class"":"""",""style"":""0""}","0",*
122,289,"Position ""user6""","","[pb_row][pb_column span=""span12""][pb_text width_unit=""%"" enable_dropcap=""no"" appearing_animation=""0"" ]<p>This is a sample module in position <strong>“user6”</strong>. All modules in this position will be arranged in <strong>vertical column</strong>. The whole position will be collapsed, if there are no modules published.</p>[/pb_text][/pb_column][/pb_row]",1,user6,"0","0000-00-00 00:00:00",2020-05-12 07:43:19,"0000-00-00 00:00:00",-2,mod_custom,1,1,"{""prepare_content"":""1"",""backgroundimage"":"""",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static"",""module_tag"":""div"",""bootstrap_size"":""0"",""header_tag"":""h3"",""header_class"":"""",""style"":""0""}","0",*
123,300,"Position ""user3""","","<p>This is a sample module in position <strong>&ldquo;user3&rdquo;</strong>. All modules in this position will be arranged in <strong>vertical column</strong>. The whole position will be collapsed, if there are no modules published.</p>",2,user3,"0","0000-00-00 00:00:00",2020-05-12 07:43:19,"0000-00-00 00:00:00",-2,mod_custom,1,1,"{""prepare_content"":""1"",""backgroundimage"":"""",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static"",""module_tag"":""div"",""bootstrap_size"":""0"",""header_tag"":""h3"",""header_class"":"""",""style"":""0""}","0",*
131,262,"""solid-2"" Style","","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc varius nisl id lectus ultricies ut elementum nulla ornare. Nulla sed mi massa, at tincidunt felis.</p>
<p>Module Class Suffix:<br /> <strong>""solid-2 solid-2 fa fa-laptop""</strong></p>",3,user-top,"0","0000-00-00 00:00:00",2020-05-12 07:43:19,"0000-00-00 00:00:00",-2,mod_custom,1,1,"{""prepare_content"":""1"",""backgroundimage"":"""",""layout"":""_:default"",""moduleclass_sfx"":""solid-2 fa fa-laptop"",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static"",""module_tag"":""div"",""bootstrap_size"":""0"",""header_tag"":""h3"",""header_class"":"""",""style"":""0""}","0",*
132,261,"""solid-1"" Style","","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc varius nisl id lectus ultricies ut elementum nulla ornare. Nulla sed mi massa, at tincidunt felis.</p>
<p>Module Class Suffix:<br /> <strong>""solid-1 fa fa-location-arrow""</strong></p>",2,user-top,"0","0000-00-00 00:00:00",2020-05-12 07:43:19,"0000-00-00 00:00:00",-2,mod_custom,1,1,"{""prepare_content"":""1"",""backgroundimage"":"""",""layout"":""_:default"",""moduleclass_sfx"":""solid-1 fa fa-location-arrow"",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static"",""module_tag"":""div"",""bootstrap_size"":""0"",""header_tag"":""h3"",""header_class"":"""",""style"":""0""}","0",*
